0,1
45916,TRÁFEGO AÉREO
45941,FALHA DO MOTOR EM VOO
46701,OUTROS
52240,FALHA DO MOTOR EM VOO
45927,COM TREM DE POUSO
45929,POUSO LONGO
45950,PERDA DE CONTROLE NO SOLO
45928,FOGO NO SOLO
45902,PERDA DE CONTROLE EM VOO
45939,PERDA DE CONTROLE EM VOO
45904,ESTOURO DE PNEU
45898,COM TREM DE POUSO
45901,OUTROS
45900,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45897,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45899,PERDA DE CONTROLE NO SOLO
45918,OUTROS
45933,FALHA DO MOTOR EM VOO
45914,PERDA DE CONTROLE NO SOLO
45932,COM TREM DE POUSO
45943,OUTROS
45980,OUTROS
46117,OUTROS
45917,OUTROS
45946,COLISÃO COM AVE
45931,COM TREM DE POUSO
45936,FALHA DO MOTOR EM VOO
45945,COM TREM DE POUSO
45981,VAZAMENTO DE OUTROS FLUIDOS
45989,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45934,OUTROS
45982,TRÁFEGO AÉREO
45964,COLISÃO COM AVE
46180,INDETERMINADO
46032,TRÁFEGO AÉREO
45983,FALHA DO MOTOR EM VOO
45942,COM TREM DE POUSO
45972,ESTOURO DE PNEU
46116,FALHA DO MOTOR EM VOO
45935,PERDA DE CONTROLE NO SOLO
45938,POUSO LONGO
45947,PERDA DE COMPONENTE EM VOO
45951,PERDA DE COMPONENTE NO SOLO
45952,FALHA DO MOTOR EM VOO
45985,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45937,POUSO LONGO
45959,TRÁFEGO AÉREO
45973,F.O.D.
46022,COLISÃO COM AVE
46026,POUSO ANTES DA PISTA
46106,SOPRO DE REATOR
45960,ESTOURO DE PNEU
46158,PERDA DE CONTROLE NO SOLO
45949,ESTOURO DE PNEU
45948,ESTOURO DE PNEU
46197,PERDA DE CONTROLE NO SOLO
46029,PERDA DE COMPONENTE EM VOO
46019,ESTOURO DE PNEU
46038,EXCURSÃO DE PISTA
46036,OUTROS
46043,COM TREM DE POUSO
46045,PANE SECA
46096,ESTOURO DE PNEU
46155,TRÁFEGO AÉREO
46024,EXCURSÃO DE PISTA
46046,ESTOURO DE PNEU
46042,FALHA DO MOTOR EM VOO
46073,FALHA DO MOTOR EM VOO
46110,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46156,PERDA DE CONTROLE NO SOLO
46095,PERDA DE CONTROLE EM VOO
46093,PANE SECA
46157,FUMAÇA NA CABINE
46161,FALHA DO MOTOR EM VOO
46094,EXCURSÃO DE PISTA
46178,PERDA DE CONTROLE NO SOLO
46092,COM LANÇAMENTO DE PESSOAS
46105,OUTROS
46196,COM HÉLICE
46098,FALHA DO MOTOR EM VOO
46159,COM TREM DE POUSO
46305,PERDA DE CONTROLE EM VOO
